City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,villa de arista,22.65,-100.8333,25.45,16,100,1.92,MX,1715060896
294,kedrovyy,56.1667,91.8167,12.23,38,52,2.7,RU,1715060896
295,inhambane,-23.865,35.3833,20.56,94,40,0.0,MZ,1715060897
296,susuman,62.7833,148.1667,3.88,61,87,1.79,RU,1715060898
297,tucuma,-0.1833,-50.05,25.26,93,99,2.1,BR,1715060898
298,weihai,37.5017,122.1136,12.43,85,56,5.31,CN,1715060899
299,maxixe,-23.8597,35.3472,20.47,94,40,0.0,MZ,1715060900
300,mournies,35.4764,24.0092,19.22,55,0,3.6,GR,1715060900
301,burutu,5.3509,5.5076,26.54,89,100,2.24,NG,1715060901
302,merritt island,28.5392,-80.672,24.26,80,0,4.12,US,1715060902
303,kodiak,57.79,-152.4072,5.73,81,100,6.69,US,1715060902
304,sandnessjoen,66.0217,12.6316,6.98,61,0,0.51,NO,1715060903
305,downpatrick,54.3263,-5.7035,9.88,88,78,2.47,GB,1715060905
306,laguna,38.421,-121.4238,12.89,80,0,3.6,US,1715060905
307,antsiranana,-12.2787,49.2917,26.42,69,40,9.26,MG,1715060906
308,kasempa,-13.4584,25.8338,21.6,63,89,3.83,ZM,1715060907
309,bria,6.5423,21.9863,29.11,43,100,1.14,CF,1715060907
310,nosy varika,-20.5833,48.5333,24.22,74,58,0.68,MG,1715060908
311,marsa alam,25.0757,34.8918,25.25,38,0,6.28,EG,1715060852
312,aral,40.5156,81.2636,31.56,11,100,2.75,CN,1715060909
313,quchan,37.106,58.5095,24.69,29,64,4.21,IR,1715060910
314,nizhnedevitsk,51.5419,38.3657,15.28,75,100,7.7,RU,1715060910
315,barra de santo antonio,-9.4047,-35.5072,25.6,86,100,4.45,BR,1715060911
316,wuzhou,23.4833,111.3167,29.01,72,83,2.03,CN,1715060912
317,broken hill,-31.95,141.4333,16.87,51,100,7.27,AU,1715060853
318,jining,35.405,116.5814,30.03,21,33,5.17,CN,1715060913
319,lake city,30.1897,-82.6393,20.92,94,0,1.54,US,1715060914
320,kachug,53.9606,105.8817,9.59,66,100,5.65,RU,1715060914
321,sidney,-33.8679,151.2073,17.97,78,75,2.57,AU,1715060777
322,rimouski,48.4488,-68.524,6.82,80,17,4.1,CA,1715060898
323,aykhal,66.0,111.5,0.36,89,93,12.29,RU,1715060916
324,manta,-0.95,-80.7333,26.88,74,75,3.09,EC,1715060847
325,victorica,-36.2151,-65.4359,13.17,86,55,5.53,AR,1715060918
326,mpika,-11.8343,31.4529,19.28,76,12,4.77,ZM,1715060918
327,kargasok,59.0556,80.8572,11.75,37,97,7.2,RU,1715060919
328,huarmey,-10.0681,-78.1522,19.77,87,100,3.38,PE,1715060920
329,colon,9.3592,-79.9014,26.06,87,99,2.24,PA,1715060920
330,soio,-6.1349,12.3689,25.66,91,18,2.32,AO,1715060921
